"Sample_ID","Customer_Name","Subject_Barcode","Synonym_clean","female","male","full_sib","CIP","DArT"
"24-PEP-02-P01D04S000028","24-PEP-02-P01_D04","CIP318108.057","CIP318108.057","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D05S000036","24-PEP-02-P01_D05","CIP318108.060","CIP318108.060","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D06S000044","24-PEP-02-P01_D06","CIP318108.070","CIP318108.070","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D07S000052","24-PEP-02-P01_D07","CIP318108.072","CIP318108.072","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D08S000060","24-PEP-02-P01_D08","CIP318108.074","CIP318108.074","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D09S000068","24-PEP-02-P01_D09","CIP318108.116","CIP318108.116","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D10S000076","24-PEP-02-P01_D10","CIP318109.009","CIP318109.009","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01D11S000084","24-PEP-02-P01_D11","CIP318109.016","CIP318109.016","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01D12S000092","24-PEP-02-P01_D12","CIP318109.021","CIP318109.021","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E01S000005","24-PEP-02-P01_E01","CIP318109.026","CIP318109.026","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E02S000013","24-PEP-02-P01_E02","CIP318109.031","CIP318109.031","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E03S000021","24-PEP-02-P01_E03","CIP318109.032","CIP318109.032","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E04S000029","24-PEP-02-P01_E04","CIP318109.041","CIP318109.041","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E05S000037","24-PEP-02-P01_E05","CIP318109.044","CIP318109.044","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E06S000045","24-PEP-02-P01_E06","CIP318109.072","CIP318109.072","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E07S000053","24-PEP-02-P01_E07","CIP318109.080","CIP318109.080","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E08S000061","24-PEP-02-P01_E08","CIP318109.081","CIP318109.081","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E09S000069","24-PEP-02-P01_E09","CIP318109.090","CIP318109.090","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E10S000077","24-PEP-02-P01_E10","CIP318109.097","CIP318109.097","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E11S000085","24-PEP-02-P01_E11","CIP318109.112","CIP318109.112","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01E12S000093","24-PEP-02-P01_E12","CIP318109.113","CIP318109.113","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01F01S000006","24-PEP-02-P01_F01","CIP318109.115","CIP318109.115","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01F02S000014","24-PEP-02-P01_F02","CIP318109.119","CIP318109.119","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01F03S000022","24-PEP-02-P01_F03","CIP318109.120","CIP318109.120","CIP512010.1","CIP398208.219","CIP512010.1_x_CIP398208.219",TRUE,TRUE
"24-PEP-02-P01F04S000030","24-PEP-02-P01_F04","CIP318110.003","CIP318110.003","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F05S000038","24-PEP-02-P01_F05","CIP318110.009","CIP318110.009","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F06S000046","24-PEP-02-P01_F06","CIP318110.012","CIP318110.012","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F07S000054","24-PEP-02-P01_F07","CIP318110.014","CIP318110.014","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F08S000062","24-PEP-02-P01_F08","CIP318110.018","CIP318110.018","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F09S000070","24-PEP-02-P01_F09","CIP318110.039","CIP318110.039","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F10S000078","24-PEP-02-P01_F10","CIP318110.100","CIP318110.100","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F11S000086","24-PEP-02-P01_F11","CIP318110.103","CIP318110.103","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01F12S000094","24-PEP-02-P01_F12","CIP318110.107","CIP318110.107","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01G01S000007","24-PEP-02-P01_G01","CIP318110.116","CIP318110.116","CIP512010.1","CIP398098.203","CIP512010.1_x_CIP398098.203",TRUE,TRUE
"24-PEP-02-P01G02S000015","24-PEP-02-P01_G02","CIP318111.004","CIP318111.004","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G03S000023","24-PEP-02-P01_G03","CIP318111.006","CIP318111.006","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G04S000031","24-PEP-02-P01_G04","CIP318111.012","CIP318111.012","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G05S000039","24-PEP-02-P01_G05","CIP318111.017","CIP318111.017","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G06S000047","24-PEP-02-P01_G06","CIP318111.021","CIP318111.021","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G07S000055","24-PEP-02-P01_G07","CIP318111.040","CIP318111.040","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G08S000063","24-PEP-02-P01_G08","CIP318111.045","CIP318111.045","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P01G09S000071","24-PEP-02-P01_G09","CIP318111.054","CIP318111.054","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G10S000079","24-PEP-02-P01_G10","CIP318111.055","CIP318111.055","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G11S000087","24-PEP-02-P01_G11","CIP318111.058","CIP318111.058","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01G12S000095","24-PEP-02-P01_G12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P01H01S000008","24-PEP-02-P01_H01","CIP318111.059","CIP318111.059","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H02S000016","24-PEP-02-P01_H02","CIP318111.060","CIP318111.060","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H03S000024","24-PEP-02-P01_H03","CIP318111.065","CIP318111.065","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H04S000032","24-PEP-02-P01_H04","CIP318111.071","CIP318111.071","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H05S000040","24-PEP-02-P01_H05","CIP318111.078","CIP318111.078","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P01H06S000048","24-PEP-02-P01_H06","CIP318111.083","CIP318111.083","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P01H07S000056","24-PEP-02-P01_H07","CIP318111.090","CIP318111.090","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H08S000064","24-PEP-02-P01_H08","CIP318111.091","CIP318111.091","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H09S000072","24-PEP-02-P01_H09","CIP318111.094","CIP318111.094","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H10S000080","24-PEP-02-P01_H10","CIP318111.095","CIP318111.095","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H11S000088","24-PEP-02-P01_H11","CIP318111.107","CIP318111.107","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P01H12S000096","24-PEP-02-P01_H12",NA,NA,NA,NA,NA,TRUE,FALSE
"24-PEP-02-P02A01S000001","24-PEP-02-P02_A01","CIP318111.117","CIP318111.117","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A02S000009","24-PEP-02-P02_A02","CIP318112.002","CIP318112.002","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02A03S000017","24-PEP-02-P02_A03","CIP318112.003","CIP318112.003","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A04S000025","24-PEP-02-P02_A04","CIP318112.011","CIP318112.011","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A05S000033","24-PEP-02-P02_A05","CIP318112.014","CIP318112.014","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A06S000041","24-PEP-02-P02_A06","CIP318112.015","CIP318112.015","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02A07S000049","24-PEP-02-P02_A07","CIP318112.016","CIP318112.016","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02A08S000057","24-PEP-02-P02_A08","CIP318112.017","CIP318112.017","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A09S000065","24-PEP-02-P02_A09","CIP318112.029","CIP318112.029","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02A10S000073","24-PEP-02-P02_A10","CIP318112.034","CIP318112.034","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A11S000081","24-PEP-02-P02_A11","CIP318112.054","CIP318112.054","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02A12S000089","24-PEP-02-P02_A12","CIP318112.055","CIP318112.055","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B01S000002","24-PEP-02-P02_B01","CIP318112.063","CIP318112.063","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02B02S000010","24-PEP-02-P02_B02","CIP318112.069","CIP318112.069","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02B03S000018","24-PEP-02-P02_B03","CIP318112.076","CIP318112.076","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02B04S000026","24-PEP-02-P02_B04","CIP318112.078","CIP318112.078","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B05S000034","24-PEP-02-P02_B05","CIP318112.080","CIP318112.080","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B06S000042","24-PEP-02-P02_B06","CIP318112.084","CIP318112.084","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B07S000050","24-PEP-02-P02_B07","CIP318112.091","CIP318112.091","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B08S000058","24-PEP-02-P02_B08","CIP318112.097","CIP318112.097","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B09S000066","24-PEP-02-P02_B09","CIP318112.098","CIP318112.098","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B10S000074","24-PEP-02-P02_B10","CIP318112.103","CIP318112.103","CIP512010.1","CIP398098.204","CIP512010.1_x_CIP398098.204",TRUE,TRUE
"24-PEP-02-P02B11S000082","24-PEP-02-P02_B11","CIP318112.105","CIP318112.105","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02B12S000090","24-PEP-02-P02_B12","CIP318112.106","CIP318112.106","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C01S000003","24-PEP-02-P02_C01","CIP318112.114","CIP318112.114","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C02S000011","24-PEP-02-P02_C02","CIP318112.117","CIP318112.117","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C03S000019","24-PEP-02-P02_C03","CIP318112.120","CIP318112.120","CIP512010.1","CIP302533.49","CIP512010.1_x_CIP302533.49",TRUE,TRUE
"24-PEP-02-P02C04S000027","24-PEP-02-P02_C04","CIP318113.007","CIP318113.007","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C05S000035","24-PEP-02-P02_C05","CIP318113.022","CIP318113.022","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C06S000043","24-PEP-02-P02_C06","CIP318113.044","CIP318113.044","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C07S000051","24-PEP-02-P02_C07","CIP318113.074","CIP318113.074","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C08S000059","24-PEP-02-P02_C08","CIP318113.081","CIP318113.081","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C09S000067","24-PEP-02-P02_C09","CIP318113.104","CIP318113.104","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C10S000075","24-PEP-02-P02_C10","CIP318113.116","CIP318113.116","CIP512010.1","CIP308498.280","CIP512010.1_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P02C11S000083","24-PEP-02-P02_C11","CIP318114.008","CIP318114.008","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02C12S000091","24-PEP-02-P02_C12","CIP318114.035","CIP318114.035","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D01S000004","24-PEP-02-P02_D01","CIP318114.036","CIP318114.036","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D02S000012","24-PEP-02-P02_D02","CIP318114.037","CIP318114.037","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D03S000020","24-PEP-02-P02_D03","CIP318114.043","CIP318114.043","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D04S000028","24-PEP-02-P02_D04","CIP318114.045","CIP318114.045","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D05S000036","24-PEP-02-P02_D05","CIP318114.050","CIP318114.050","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D06S000044","24-PEP-02-P02_D06","CIP318114.061","CIP318114.061","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D07S000052","24-PEP-02-P02_D07","CIP318114.065","CIP318114.065","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D08S000060","24-PEP-02-P02_D08","CIP318114.071","CIP318114.071","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D09S000068","24-PEP-02-P02_D09","CIP318114.073","CIP318114.073","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D10S000076","24-PEP-02-P02_D10","CIP318114.075","CIP318114.075","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D11S000084","24-PEP-02-P02_D11","CIP318114.076","CIP318114.076","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02D12S000092","24-PEP-02-P02_D12","CIP318114.078","CIP318114.078","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E01S000005","24-PEP-02-P02_E01","CIP318114.080","CIP318114.080","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E02S000013","24-PEP-02-P02_E02","CIP318114.082","CIP318114.082","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E03S000021","24-PEP-02-P02_E03","CIP318114.097","CIP318114.097","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E04S000029","24-PEP-02-P02_E04","CIP318114.099","CIP318114.099","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E05S000037","24-PEP-02-P02_E05","CIP318114.101","CIP318114.101","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E06S000045","24-PEP-02-P02_E06","CIP318114.110","CIP318114.110","CIP512010.1","CIP308503.58","CIP512010.1_x_CIP308503.58",TRUE,TRUE
"24-PEP-02-P02E07S000053","24-PEP-02-P02_E07","CIP318115.003","CIP318115.003","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E08S000061","24-PEP-02-P02_E08","CIP318115.005","CIP318115.005","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
"24-PEP-02-P02E09S000069","24-PEP-02-P02_E09","CIP318115.006","CIP318115.006","CIP512010.1","CIP312896.025","CIP512010.1_x_CIP312896.025",TRUE,TRUE
